anio,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,2,1,1,3,2.0,1182690.02
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,2,1,1,4,2.0,1126376.45
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,2,1,2,2,2.0,1262887.14
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,2,1,2,3,3.0,1706702.26
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,2,1,2,4,2.0,1148906.8
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,2,1,3,3,3.0,1697618.48
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,2,1,4,3,3.0,2641123.79
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,2,1,6,2,1.0,695388.45
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,2,2,1,2,5.0,3007036.96
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,2,2,1,3,3.0,1294658.66
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,2,2,1,4,3.0,1848469.76
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,2,2,2,2,8.0,4423548.11
